Sat 4 Jul 2015 12:30:12 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk80
Run: sph,two,LPk=8.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   8.5000,  9.0610,  8.9510,  7.8210,  6.3210, -0.4451, -0.3180, -1.5078, -0.0178,  0.1093,  1.0627,  1.1898,  0.0370,  0.5283,  0.6573,  0.4913,  0.6204,  1.5719,  1.7009, -2.7317, -2.8607, -1.8962,  1.0805,  0.7507,  0.4443, -0.3080, -0.3613
c
   6.5000,  9.2370,  9.1270,  7.9970,  6.4970,  0.1652,  0.2923, -0.4061,  0.5730,  0.7000,  0.5713,  0.6984,  0.0626, -1.9205, -1.7914, -1.9831, -1.8540, -1.9847, -1.8557, -3.0260, -3.1551, -0.7606, -0.0016,  0.0686,  0.3564, -0.2937, -0.3510
   6.7500,  9.2370,  9.1270,  7.9970,  6.4970,  0.1617,  0.2888, -0.5112,  0.5596,  0.6866,  0.6729,  0.8000,  0.0722, -1.4811, -1.3521, -1.5533, -1.4243, -1.4400, -1.3110, -3.0155, -3.1445, -0.9409,  0.1133,  0.0883,  0.3666, -0.2959, -0.3526
   7.0000,  9.2370,  9.1270,  7.9970,  6.4970,  0.1458,  0.2729, -0.6308,  0.5391,  0.6661,  0.7767,  0.9037,  0.0766, -1.0523, -0.9232, -1.1289, -0.9999, -0.8913, -0.7623, -3.0004, -3.1295, -1.1260,  0.2376,  0.1180,  0.3837, -0.2976, -0.3537
   7.2500,  9.2370,  9.1270,  7.9970,  6.4970,  0.1124,  0.2394, -0.7613,  0.5028,  0.6299,  0.8736,  1.0007,  0.0792, -0.6456, -0.5165, -0.7248, -0.5958, -0.3540, -0.2249, -2.9773, -3.1064, -1.3102,  0.3708,  0.1774,  0.4055, -0.2988, -0.3544
   7.5000,  9.2370,  9.1270,  7.9970,  6.4970,  0.0550,  0.1821, -0.9025,  0.4520,  0.5791,  0.9575,  1.0846,  0.0724, -0.2876, -0.1586, -0.3601, -0.2310,  0.1455,  0.2745, -2.9584, -3.0875, -1.4790,  0.5055,  0.2731,  0.4281, -0.2998, -0.3550
   7.7500,  9.2370,  9.1270,  7.9970,  6.4970, -0.0233,  0.1038, -1.0548,  0.4021,  0.5291,  1.0315,  1.1585,  0.0438, -0.0110,  0.1180, -0.0548,  0.0743,  0.5746,  0.7037, -2.9591, -3.0881, -1.6132,  0.6294,  0.3835,  0.4467, -0.3014, -0.3563
   8.0000,  9.2370,  9.1270,  7.9970,  6.4970, -0.1078,  0.0193, -1.2093,  0.3643,  0.4913,  1.1016,  1.2286, -0.0031,  0.1821,  0.3111,  0.1852,  0.3143,  0.9225,  1.0516, -2.9706, -3.0997, -1.7012,  0.7373,  0.4829,  0.4603, -0.3044, -0.3592
   8.2500,  9.2370,  9.1270,  7.9970,  6.4970, -0.1835, -0.0564, -1.3547,  0.3402,  0.4673,  1.1713,  1.2983, -0.0552,  0.3170,  0.4460,  0.3722,  0.5012,  1.2032,  1.3322, -2.9726, -3.1017, -1.7400,  0.8310,  0.5650,  0.4726, -0.3098, -0.3647
   8.5000,  9.2370,  9.1270,  7.9970,  6.4970, -0.2419, -0.1149, -1.4867,  0.3329,  0.4600,  1.2447,  1.3718, -0.1071,  0.4187,  0.5478,  0.5258,  0.6548,  1.4376,  1.5666, -2.9531, -3.0821, -1.7301,  0.9118,  0.6346,  0.4873, -0.3178, -0.3733
