Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
Resampled with pyqz 0.7.0 (sampling=2) 2015-08-17 17:27:23.995958
Original LogQ:[ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12:[ 7.459  8.061  8.362  8.76   9.061  9.237]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),[NII]/Ha(5),[NII]+/Ha(6),[SII]+/Ha(7),[NII]/[OII]+(8),[NII]+/[OII]+(9),[NII]/[SII]+(10),[NII]+/[SII]+(11),[OII]+/Hb(12),[OIII]/Hb(13),[OIII]+/Hb(14),[OIII]/[OII]+(15),[OIII]+/[OII]+(16),[OIII]/[SII]+(17),[OIII]+/[SII]+(18),4363/[OIII](19),4363/[OIII]+(20),[OI]/[OII]+(21),[OII]+/[SII]+(22),R23(23),S23(24),6716/6731(25),3729/3726(26)
6.5000,7.8603,7.7503,6.6203,5.1203,-1.3433,-1.2161,-0.6849,-1.2391,-1.1121,-0.6675,-0.5404,0.3559,-1.4425,-1.3135,-1.7932,-1.6642,-1.2229,-1.0938,-1.9636,-2.0926,-1.3108,0.5749,0.3652,-0.0731,0.1588,0.1606
6.5833,7.8603,7.7503,6.6203,5.1203,-1.3368,-1.2097,-0.7172,-1.2562,-1.1291,-0.6286,-0.5016,0.3792,-1.2687,-1.1396,-1.6429,-1.5140,-1.0161,-0.8871,-1.9451,-2.0741,-1.3790,0.6310,0.3915,-0.0840,0.1586,0.1606
6.6667,7.8603,7.7503,6.6203,5.1203,-1.3340,-1.2069,-0.7510,-1.2742,-1.1471,-0.5919,-0.4648,0.3998,-1.0990,-0.9699,-1.4942,-1.3652,-0.8121,-0.6831,-1.9272,-2.0562,-1.4452,0.6860,0.4177,-0.0939,0.1585,0.1606
6.7500,7.8603,7.7503,6.6203,5.1203,-1.3344,-1.2073,-0.7868,-1.2939,-1.1668,-0.5567,-0.4296,0.4184,-0.9324,-0.8033,-1.3465,-1.2175,-0.6097,-0.4807,-1.9099,-2.0389,-1.5100,0.7405,0.4438,-0.1029,0.1583,0.1606
6.8333,7.8603,7.7503,6.6203,5.1203,-1.3379,-1.2108,-0.8241,-1.3149,-1.1878,-0.5234,-0.3963,0.4345,-0.7702,-0.6411,-1.2006,-1.0715,-0.4102,-0.2812,-1.8931,-2.0222,-1.5728,0.7938,0.4698,-0.1110,0.1582,0.1606
6.9167,7.8603,7.7503,6.6203,5.1203,-1.3459,-1.2188,-0.8626,-1.3361,-1.2090,-0.4929,-0.3658,0.4470,-0.6138,-0.4846,-1.0568,-0.9277,-0.2148,-0.0857,-1.8771,-2.0062,-1.6327,0.8453,0.4957,-0.1182,0.1581,0.1606
7.0000,7.8603,7.7503,6.6203,5.1203,-1.3590,-1.2319,-0.9025,-1.3574,-1.2302,-0.4654,-0.3384,0.4561,-0.4624,-0.3333,-0.9148,-0.7858,-0.0226,0.1065,-1.8618,-1.9909,-1.6903,0.8954,0.5215,-0.1244,0.1580,0.1606
7.0833,7.8603,7.7503,6.6203,5.1203,-1.3769,-1.2498,-0.9437,-1.3788,-1.2516,-0.4422,-0.3152,0.4605,-0.3209,-0.1918,-0.7778,-0.6487,0.1601,0.2892,-1.8475,-1.9765,-1.7427,0.9412,0.5466,-0.1297,0.1579,0.1606
7.1667,7.8603,7.7503,6.6203,5.1203,-1.4000,-1.2729,-0.9853,-1.4003,-1.2731,-0.4244,-0.2975,0.4581,-0.1933,-0.0643,-0.6477,-0.5186,0.3290,0.4581,-1.8342,-1.9632,-1.7876,0.9800,0.5708,-0.1342,0.1577,0.1606
7.2500,7.8603,7.7503,6.6203,5.1203,-1.4304,-1.3033,-1.0265,-1.4216,-1.2945,-0.4123,-0.2853,0.4482,-0.0774,0.0516,-0.5224,-0.3933,0.4877,0.6167,-1.8219,-1.9509,-1.8260,1.0132,0.5944,-0.1376,0.1576,0.1606
7.3333,7.8603,7.7503,6.6203,5.1203,-1.4652,-1.3381,-1.0671,-1.4406,-1.3135,-0.4038,-0.2768,0.4325,0.0266,0.1556,-0.4041,-0.2751,0.6337,0.7627,-1.8106,-1.9396,-1.8580,1.0409,0.6168,-0.1402,0.1575,0.1606
7.4167,7.8603,7.7503,6.6203,5.1203,-1.5001,-1.3731,-1.1070,-1.4556,-1.3286,-0.3981,-0.2710,0.4129,0.1161,0.2451,-0.2957,-0.1667,0.7631,0.8922,-1.8000,-1.9290,-1.8821,1.0620,0.6373,-0.1425,0.1574,0.1606
7.5000,7.8603,7.7503,6.6203,5.1203,-1.5350,-1.4080,-1.1464,-1.4677,-1.3406,-0.3960,-0.2689,0.3890,0.1908,0.3198,-0.1954,-0.0665,0.8772,1.0063,-1.7901,-1.9192,-1.8975,1.0758,0.6563,-0.1441,0.1574,0.1606
